benchmark_dir,ground_truth_kind,script_path,bug_id,bug_code,bug_description,bug_line,line_text,nesting_depth,statements_before,lukas-depth,fork_count,fork_path_factor,fork_count_prefix,fork_path_factor_prefix,loc,line_percentile
benchmarks/high_profile/c02-n,fixed,benchmarks/high_profile/c02-n/fixed.sh,bug00,del_sys_file,Directories under /usr/local are deleted when an environment variable is unset,147,      && cp -fR $local_dir/bin/* $N_PREFIX/bin && cp -fR $local_dir/lib/node/* $N_PREFIX/lib/node/ . # Made these a single line to match the number of bugs between original and fixed version,3,65,12,3,8,15,32768,246,0.381818
benchmarks/high_profile/c02-n,buggy_variant,benchmarks/high_profile/c02-n/variants/variant1.sh,bug00,del_sys_file,Directories under /usr/local are deleted when an environment variable is unset,145,"      rm -rf ""$N_PREFIX""""$d"" # bug here: if N_REFIX is not set externally, line 6 sets it to /usr/local",4,66,8,2,4,12,4096,246,0.376623
benchmarks/high_profile/c03-backup_manager,original,benchmarks/high_profile/c03-backup_manager/original.sh,bug00,const_cond,Log file is deleted due to improper exit code checking,179,                if [[ $? -gt 0 ]]; then # bug here: intent was to check the exit status of the first command in the pipeline on line 173; right now even if it fails the log is deleted,2,97,0,0,1,18,262144,786,0.173618
benchmarks/high_profile/c03-backup_manager,buggy,benchmarks/high_profile/c03-backup_manager/posix.sh,bug00,const_cond,Log file is deleted due to improper exit code checking,179,                if [ $? -gt 0 ]; then # bug here: intent was to check the exit status of the first command in the pipeline on line 173; right now even if it fails the log is deleted,5,97,10,4,16,24,16777216,765,0.17278
benchmarks/high_profile/c03-backup_manager,fixed,benchmarks/high_profile/c03-backup_manager/fixed.sh,bug00,const_cond,Log file is deleted due to improper exit code checking,183,"                if [ ""$exitcode"" -gt 0 ]; then",5,101,10,4,16,24,16777216,776,0.174452
benchmarks/high_profile/c03-backup_manager,buggy_variant,benchmarks/high_profile/c03-backup_manager/variants/bug-assign_first.sh,bug00,const_cond,Log file is deleted due to improper exit code checking,180,                if [ $exitcode -gt 0 ]; then # bug here: intent was to check the exit status of the first command in the pipeline on line 173; right now even if it fails the log is deleted,5,98,10,4,16,24,16777216,767,0.17341
benchmarks/high_profile/c03-backup_manager,fixed_variant,benchmarks/high_profile/c03-backup_manager/variants/fix-test_eq_first.sh,bug00,const_cond,Log file is deleted due to improper exit code checking,184,"                if [ ""$?"" -eq 0 ]; then",5,102,10,4,16,24,16777216,777,0.175238
benchmarks/high_profile/w00-itunes,original,benchmarks/high_profile/w00-itunes/original.sh,bug00,word_split,Unquoted variable in rm can word-split and delete arbitrary files,5,    rm -rf $2Applications/iTunes.app 2> /dev/null,1,1,1,1,2,1,2,3,0.833333
benchmarks/high_profile/w00-itunes,buggy,benchmarks/high_profile/w00-itunes/posix.sh,bug00,word_split,Unquoted variable in rm can word-split and delete arbitrary files,5,    rm -rf $2Applications/iTunes.app 2> /dev/null # bug here: $2 can word-split,1,1,1,1,2,1,2,3,0.833333
benchmarks/high_profile/w00-itunes,fixed,benchmarks/high_profile/w00-itunes/fixed.sh,bug00,word_split,Unquoted variable in rm can word-split and delete arbitrary files,5,"    rm -rf ""$2Applications/iTunes.app"" 2> /dev/null",1,1,1,1,2,1,2,3,0.833333
benchmarks/high_profile/w00-itunes,buggy_variant,benchmarks/high_profile/w00-itunes/variants/bug-split_rm_args.sh,bug01,del_sys_file,Variable is equal to /usr,7,"    rm -rf $target ""Applications/iTunes.app"" 2> /dev/null # bug here: $2 can word-split",1,2,1,1,2,1,2,4,0.875
benchmarks/high_profile/w01-squid,original,benchmarks/high_profile/w01-squid/original.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,130,	rm -rf $SQUID_PIDFILE_DIR/*,1,73,5,0,1,23,8388608,138,0.670103
benchmarks/high_profile/w01-squid,original,benchmarks/high_profile/w01-squid/original.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,143,		rm -rf $SQUID_PIDFILE_DIR/*,2,81,5,1,2,24,16777216,138,0.737113
benchmarks/high_profile/w01-squid,original,benchmarks/high_profile/w01-squid/original.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,130,	rm -rf $SQUID_PIDFILE_DIR/*,1,73,5,0,1,23,8388608,138,0.670103
benchmarks/high_profile/w01-squid,original,benchmarks/high_profile/w01-squid/original.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,143,		rm -rf $SQUID_PIDFILE_DIR/*,2,81,5,1,2,24,16777216,138,0.737113
benchmarks/high_profile/w01-squid,buggy,benchmarks/high_profile/w01-squid/posix.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,131,	rm -rf $SQUID_PIDFILE_DIR/* # bug here: SQUID_PIDFILE_DIR is set externally,1,73,5,0,1,23,8388608,138,0.671795
benchmarks/high_profile/w01-squid,buggy,benchmarks/high_profile/w01-squid/posix.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,144,		rm -rf $SQUID_PIDFILE_DIR/* # bug here: SQUID_PIDFILE_DIR is set externally,2,81,5,1,2,24,16777216,138,0.738462
benchmarks/high_profile/w01-squid,buggy,benchmarks/high_profile/w01-squid/posix.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,131,	rm -rf $SQUID_PIDFILE_DIR/* # bug here: SQUID_PIDFILE_DIR is set externally,1,73,5,0,1,23,8388608,138,0.671795
benchmarks/high_profile/w01-squid,buggy,benchmarks/high_profile/w01-squid/posix.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,144,		rm -rf $SQUID_PIDFILE_DIR/* # bug here: SQUID_PIDFILE_DIR is set externally,2,81,5,1,2,24,16777216,138,0.738462
benchmarks/high_profile/w01-squid,fixed,benchmarks/high_profile/w01-squid/fixed.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,131,"	rm -rf ""${SQUID_PIDFILE_DIR:?}""/*",1,73,5,0,1,23,8388608,138,0.671795
benchmarks/high_profile/w01-squid,fixed,benchmarks/high_profile/w01-squid/fixed.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,144,"		rm -rf ""${SQUID_PIDFILE_DIR:?}""/*",2,81,5,1,2,24,16777216,138,0.738462
benchmarks/high_profile/w01-squid,fixed,benchmarks/high_profile/w01-squid/fixed.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,131,"	rm -rf ""${SQUID_PIDFILE_DIR:?}""/*",1,73,5,0,1,23,8388608,138,0.671795
benchmarks/high_profile/w01-squid,fixed,benchmarks/high_profile/w01-squid/fixed.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,144,"		rm -rf ""${SQUID_PIDFILE_DIR:?}""/*",2,81,5,1,2,24,16777216,138,0.738462
benchmarks/high_profile/w01-squid,buggy_variant,benchmarks/high_profile/w01-squid/variants/bug-indirect_rm.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,132,"    rm -rf ""$contents""* # bug here: SQUID_PIDFILE_DIR is set externally",1,74,5,0,1,23,8388608,142,0.663317
benchmarks/high_profile/w01-squid,buggy_variant,benchmarks/high_profile/w01-squid/variants/bug-indirect_rm.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,147,"		rm -rf ""$contents""* # bug here: SQUID_PIDFILE_DIR is set externally",2,84,5,1,2,24,16777216,142,0.738693
benchmarks/high_profile/w01-squid,buggy_variant,benchmarks/high_profile/w01-squid/variants/bug-unquoted_pid_dir.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,132,    rm -rf $SQUID_PIDFILE_DIR # bug here: SQUID_PIDFILE_DIR may contain spaces,1,74,5,0,1,23,8388608,142,0.663317
benchmarks/high_profile/w01-squid,buggy_variant,benchmarks/high_profile/w01-squid/variants/bug-unquoted_pid_dir.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,147,		rm -rf $SQUID_PIDFILE_DIR # bug here: SQUID_PIDFILE_DIR may contain spaces,2,84,5,1,2,24,16777216,142,0.738693
benchmarks/high_profile/w01-squid,fixed_variant,benchmarks/high_profile/w01-squid/variants/fix-case_empty.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,135,"	rm -rf ""${SQUID_PIDFILE_DIR}""/*",1,76,6,0,1,24,16777216,142,0.678392
benchmarks/high_profile/w01-squid,fixed_variant,benchmarks/high_profile/w01-squid/variants/fix-case_empty.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,148,"		rm -rf ""${SQUID_PIDFILE_DIR}""/*",2,84,6,1,2,25,33554432,142,0.743719
benchmarks/high_profile/w01-squid,fixed_variant,benchmarks/high_profile/w01-squid/variants/fix-case_empty.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,135,"	rm -rf ""${SQUID_PIDFILE_DIR}""/*",1,76,6,0,1,24,16777216,142,0.678392
benchmarks/high_profile/w01-squid,fixed_variant,benchmarks/high_profile/w01-squid/variants/fix-case_empty.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,148,"		rm -rf ""${SQUID_PIDFILE_DIR}""/*",2,84,6,1,2,25,33554432,142,0.743719
benchmarks/high_profile/w01-squid,fixed_variant,benchmarks/high_profile/w01-squid/variants/fix-n_or_exit.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,133,"	rm -rf ""${SQUID_PIDFILE_DIR}""/*",1,74,6,0,1,24,16777216,139,0.675127
benchmarks/high_profile/w01-squid,fixed_variant,benchmarks/high_profile/w01-squid/variants/fix-n_or_exit.sh,bug00,word_split_del_sys_file,Everything under / is deleted when an environment variable is unset,146,"		rm -rf ""${SQUID_PIDFILE_DIR}""/*",2,82,6,1,2,25,33554432,139,0.741117
benchmarks/high_profile/w01-squid,fixed_variant,benchmarks/high_profile/w01-squid/variants/fix-n_or_exit.sh,bug01,word_split,Arbitrary files can be deleted if an environment variable contains spaces,133,"	rm -rf ""${SQUID_PIDFILE_DIR}""/*",1,74,6,0,1,24,16777216,139,0.675127
